model,dimension,level,rows,folds,standard_WIS,CRPS_quantile_approximation,MAE,RMSE,MASE,bias,Poisson_deviance,coverage_50,interval_width_50,coverage_80,interval_width_80,coverage_90,interval_width_90,coverage_95_approx,interval_width_95_approx,PIT_mean_approx
simple_median_ensemble,burden_stratum,Q1,6585,10,0.07517047603147797,0.07517047603147799,0.11311400761579302,0.2866106174398797,0.8679983987673441,0.0047292940951283195,0.30405130731972285,0.7593014426727411,0.017782674226931278,0.8666666666666667,0.036843199398940166,0.9298405466970388,0.8598955612481832,0.9298405466970388,0.8598955612481832,0.45061975142936583
simple_median_ensemble,burden_stratum,Q2,6585,10,0.08792780166671146,0.08792780166671146,0.12624889602249023,0.32798623576418495,0.7931514612710646,-0.01785912097825197,0.376218128460176,0.7211845102505695,0.016340641180797904,0.8507213363705391,0.03672279383120176,0.9181473044798785,0.8762608351792363,0.9181473044798785,0.8762608351792363,0.461252686564267
simple_median_ensemble,burden_stratum,Q3,6585,15,0.09884078458378504,0.09884078458378506,0.14119598266828345,0.345042389445821,0.7864926818003201,-0.015009362525027943,0.4007353693775005,0.6915717539863325,0.020156245483406485,0.8498101746393318,0.1672622106226418,0.9195140470766895,0.9962821385792431,0.9195140470766895,0.9962821385792431,0.4103576485133494
simple_median_ensemble,burden_stratum,Q4,6585,25,0.49748492567776875,0.4974849256777687,0.5759035625533998,2.109907978704264,0.3797445223687115,-0.22266607153983795,0.9844205156832704,0.4349278663629461,0.02999564862276729,0.607744874715262,0.3047232521276362,0.7675018982536067,1.0491462354788537,0.7675018982536067,1.0491462354788537,0.40243180417693014
simple_median_ensemble,testing_stratum,Q1,6585,15,0.03797693456053525,0.037976934560535254,0.05709677582210375,0.18931195548511848,0.9168906634456855,-0.0051536778593000284,0.2210559748437622,0.932422171602126,0.007280312139365758,0.9681093394077449,0.013610769290737606,0.9697798025816249,0.8459562911074416,0.9697798025816249,0.8459562911074416,0.5706111983788705
simple_median_ensemble,testing_stratum,Q2,6585,25,0.04721466109361933,0.04721466109361934,0.06895607498837383,0.2031364044056772,0.9700999951355841,-0.0016147557291248187,0.24020856830479495,0.8812452543659833,0.012391841895042267,0.9596051632498102,0.18958257399538478,0.9719058466211086,0.9332788511506132,0.9719058466211086,0.9332788511506132,0.4852196284687356
simple_median_ensemble,testing_stratum,Q3,6585,25,0.09041088419216324,0.09041088419216324,0.13702148654894533,0.34078244024844623,0.8054905959270143,-0.028341422702991552,0.46438496805843876,0.6677296886864085,0.024647528636705215,0.889749430523918,0.1567004725238321,0.9416856492027335,0.9489856985088447,0.9416856492027335,0.9489856985088447,0.35422413036625505
simple_median_ensemble,testing_stratum,Q4,6585,25,0.5838215081134254,0.5838215081134254,0.6933881115005436,2.1371126453999265,0.4022970854881546,-0.2156954046565731,1.139775809633674,0.12558845861807139,0.03995552684278972,0.3574791192103265,0.18565764017046538,0.6516324981017464,1.0533639297186166,0.6516324981017464,1.0533639297186166,0.3146069334700513
simple_median_ensemble,completeness_stratum,Q1,6585,25,0.041170125015917575,0.04117012501591759,0.05791820338943341,0.19572292976725897,0.8868219793396037,-0.008154935480255619,0.22858022968232422,0.9400151860288535,0.0065720903609171755,0.9664388762338648,0.08931836149448513,0.971753986332574,0.8876144924328279,0.971753986332574,0.8876144924328279,0.5804279795723151
simple_median_ensemble,completeness_stratum,Q2,6585,25,0.05169232127344433,0.05169232127344433,0.07805365146922619,0.22449559019615428,0.9015881425848863,-0.007932849723365271,0.2814340756303085,0.8640850417615793,0.013441454862279031,0.9494305239179954,0.12950097436344862,0.9646165527714503,0.9106335195515293,0.9646165527714503,0.9106335195515293,0.4743796860070414
simple_median_ensemble,completeness_stratum,Q3,6585,25,0.11349071613698465,0.11349071613698467,0.1681785671753164,0.38466946400587987,0.80823918706736,-0.02185843089833334,0.4818490701892183,0.5867881548974943,0.026904719639761092,0.8041002277904328,0.14676817540354034,0.9078208048595292,0.9486850379386019,0.9078208048595292,0.9486850379386019,0.34287766296707267
simple_median_ensemble,completeness_stratum,Q4,6585,25,0.5530708255333966,0.5530708255333967,0.6523120268259905,2.126925060786499,0.38976516785754806,-0.2128590448460353,1.073561945338819,0.21609719058466212,0.03735694465094565,0.45497342444950645,0.17996394471894578,0.6908124525436599,1.0346517205625574,0.6908124525436599,1.0346517205625574,0.3269765621374833
